"id","year","state_name","state_code","district_name","district_code","registration_circles","murder_with_rape_gang_rape","dowry_deaths","abetment_to_suicide_of_women","miscarriage","acid_attack","attempt_to_acid_attack","cruelty_by_husband_or_his_relatives","kidnapping_and_abduction","kidnapping_abduction_in_order_to_murder","kidnapping_for_ransom","kidnp_and_abductn_of_women_above_18_for_marrg","kidnp_and_abductn_of_girls_below_18_for_marrg","procuration_of_minor_girls","importation_of_girls_from_foreign","kidnapping_and_abduction_of_women_others","human_trafficking","selling_of_minor_girls","buying_of_minor_girls","rape_women_above_18","rape_girls_below_18","attempt_to_commit_rape_above_18","attempt_to_commit_rape_girls_below_18","assault_on_womenabove_18","assault_on_women_below_18","insult_to_the_modesty_of_women_above_18","insult_to_the_modesty_of_women_below_18","dowry_prohibition","procuring_inducing_children_for_the_sake_of_prostitution","detaining_a_prsn_in_premises_where_prost_is_carried","prostitution_in_or_in_the_vicinity_of_public_places","seducing_or_soliciting_for_purpose_of_prostitution","other_sections_under_itp_act","protection_of_women_from_domestic_violence","publshng_or_transmitting_of_sexually_explicit_mtrl","other_women_centric_cyber_crimes","child_rape","sexual_assault_of_children","child_sexual_harassment","use_of_child_for_pornography","offences_of_pocso_act","pocso_act_unnatural_offences","indecent_representation_of_women"
0,"2017","Andhra Pradesh","28","Ananthapuramu","502","Anantapur",0.0,14.0,55.0,0.0,0.0,0.0,471.0,11.0,0.0,4.0,7.0,25.0,16.0,0.0,3.0,2.0,0.0,0.0,20.0,23.0,10.0,1.0,408.0,9.0,7.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1,"2017","Andhra Pradesh","28","Chittoor","503","Chittoor",0.0,8.0,24.0,1.0,0.0,0.0,212.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,4.0,5.0,163.0,5.0,12.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0
2,"2017","Andhra Pradesh","28","Y.S.R.","504","Cuddapah",0.0,15.0,134.0,0.0,0.0,0.0,481.0,1.0,0.0,0.0,1.0,6.0,15.0,0.0,0.0,2.0,0.0,0.0,23.0,18.0,4.0,2.0,490.0,5.0,59.0,1.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,2.0,3.0,0.0,0.0,1.0,0.0
3,"2017","Andhra Pradesh","28","East Godavari","505","East Godavari",0.0,10.0,18.0,0.0,1.0,0.0,601.0,10.0,0.0,0.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,19.0,89.0,9.0,3.0,465.0,42.0,124.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
4,"2017","Andhra Pradesh","28","Ananthapuramu","502","Guntakal Railway",0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
5,"2017","Andhra Pradesh","28","Guntur","506","Guntur",0.0,14.0,49.0,0.0,0.0,0.0,558.0,7.0,0.0,0.0,2.0,5.0,69.0,0.0,3.0,0.0,0.0,0.0,32.0,58.0,17.0,10.0,301.0,27.0,380.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"2017","Andhra Pradesh","28","Guntur","506","Guntur Urban",0.0,1.0,35.0,0.0,0.0,0.0,335.0,2.0,0.0,0.0,3.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,24.0,5.0,3.0,133.0,25.0,179.0,5.0,1.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0
7,"2017","Andhra Pradesh","28","Krishna","510","Krishna",0.0,14.0,33.0,0.0,0.0,0.0,620.0,49.0,0.0,0.0,6.0,10.0,0.0,0.0,21.0,0.0,0.0,0.0,35.0,46.0,11.0,7.0,405.0,36.0,215.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"2017","Andhra Pradesh","28","Kurnool","511","Kurnool",3.0,18.0,68.0,1.0,0.0,0.0,313.0,3.0,0.0,0.0,2.0,15.0,17.0,0.0,3.0,0.0,0.0,0.0,17.0,17.0,6.0,0.0,336.0,3.0,409.0,1.0,395.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,5.0,0.0,0.0,0.0,0.0
9,"2017","Andhra Pradesh","28","Sri Potti Sriramulu Nellore","515","Nellore",0.0,6.0,28.0,0.0,0.0,0.0,469.0,14.0,0.0,0.0,1.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,15.0,43.0,13.0,2.0,296.0,0.0,88.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0
10,"2017","Andhra Pradesh","28","Prakasam","517","Prakasham",0.0,6.0,37.0,0.0,0.0,0.0,598.0,15.0,0.0,0.0,10.0,15.0,5.0,0.0,5.0,10.0,0.0,0.0,35.0,56.0,13.0,0.0,368.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,20.0,20.0,0.0,0.0,0.0,0.0
11,"2017","Andhra Pradesh","28","East Godavari","505","Rajahmundry",0.0,1.0,12.0,1.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,15.0,11.0,2.0,2.0,92.0,6.0,26.0,5.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"2017","Andhra Pradesh","28","Srikakulam","519","Srikakulam",1.0,7.0,18.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,27.0,0.0,0.0,88.0,9.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
13,"2017","Andhra Pradesh","28","Tirupati","752","Tirupathi Urban",0.0,7.0,7.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,15.0,2.0,2.0,81.0,2.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0
14,"2017","Andhra Pradesh","28","Ntr","749","Vijayawada City",0.0,10.0,14.0,0.0,0.0,0.0,460.0,9.0,0.0,0.0,3.0,7.0,5.0,0.0,0.0,18.0,0.0,0.0,41.0,38.0,1.0,1.0,233.0,42.0,117.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"2017","Andhra Pradesh","28","Ntr","749","Vijayawada Railway",0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"2017","Andhra Pradesh","28","Visakhapatnam","520","Visakha Rural",0.0,1.0,6.0,0.0,0.0,0.0,116.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,8.0,4.0,1.0,142.0,6.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
17,"2017","Andhra Pradesh","28","Visakhapatnam","520","Visakhapatnam",0.0,7.0,16.0,0.0,0.0,0.0,449.0,81.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,63.0,27.0,0.0,0.0,297.0,17.0,75.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
18,"2017","Andhra Pradesh","28","Vizianagaram","521","Vizianagaram",1.0,3.0,7.0,0.0,0.0,0.0,221.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,1.0,1.0,97.0,5.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
19,"2017","Andhra Pradesh","28","West Godavari","523","West Godavari",1.0,7.0,33.0,0.0,1.0,0.0,777.0,15.0,0.0,0.0,2.0,22.0,1.0,0.0,24.0,4.0,0.0,0.0,60.0,0.0,23.0,10.0,474.0,6.0,108.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,70.0,53.0,42.0,0.0,0.0,0.0,0.0
20,"2017","Arunachal Pradesh","12","Anjaw","628","Anjaw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"2017","Arunachal Pradesh","12","Changlang","229","Changlang",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"2017","Arunachal Pradesh","12","Papum Pare","237","Crime Branch",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"2017","Arunachal Pradesh","12","Dibang Valley","230","Dibang Valley",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"2017","Arunachal Pradesh","12","East Kameng","231","Kameng East",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"2017","Arunachal Pradesh","12","West Kameng","242","Kameng West",0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"2017","Arunachal Pradesh","12","Kurung Kumey","233","Kurung Kumey",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"2017","Arunachal Pradesh","12","Lohit","234","Lohit",0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"2017","Arunachal Pradesh","12","Longding","666","Longding",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"2017","Arunachal Pradesh","12","Lower Dibang Valley","235","Lower Dibang Valley",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"2017","Arunachal Pradesh","12","Papum Pare","237","Papum Pare City",0.0,0.0,2.0,0.0,0.0,0.0,30.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,4.0,8.0,4.0,4.0,27.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
31,"2017","Arunachal Pradesh","12","Papum Pare","237","Papum Pare Rural",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"2017","Arunachal Pradesh","12","Lower Subansiri","236","Subansiri Lower",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"2017","Arunachal Pradesh","12","Upper Subansiri","241","Subansiri Upper",0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
34,"2017","Arunachal Pradesh","12","Tawang","238","Tawang",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"2017","Arunachal Pradesh","12","Tirap","239","Tirap",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"2017","Arunachal Pradesh","12","Namsai","678","Namsai",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
37,"2017","Arunachal Pradesh","12","Siang","679","Siang",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"2017","Arunachal Pradesh","12","Kamle","718","Kamle",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,"2017","Arunachal Pradesh","12","Lower Siang","719","Lower Siang",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"2017","Assam","18","Kamrup Metro","618","Bieo",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"2017","Assam","18","Barpeta","280","Barpeta",3.0,22.0,0.0,0.0,0.0,0.0,792.0,0.0,0.0,0.0,280.0,54.0,27.0,0.0,0.0,4.0,0.0,0.0,176.0,0.0,52.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,70.0,9.0,0.0,5.0,0.0,0.0,79.0,0.0
42,"2017","Assam","18","Baksa","616","Baksa",0.0,3.0,0.0,0.0,0.0,0.0,92.0,13.0,6.0,0.0,115.0,0.0,39.0,0.0,8.0,1.0,0.0,0.0,35.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,11.0,1.0,0.0,0.0,0.0,0.0
43,"2017","Assam","18","Bongaigaon","281","Bongaigaon",1.0,9.0,0.0,0.0,0.0,0.0,338.0,2.0,0.0,0.0,89.0,0.0,29.0,0.0,0.0,2.0,0.0,0.0,45.0,0.0,13.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,9.0,1.0,0.0,0.0,0.0,0.0
